path,modified_time
\\wsl$\Ubuntu\home\user\Python-3.9.1\Objects,2021-11-27 오전 3:45:56
\\wsl$\Ubuntu\home\user\Python-3.9.1\Objects,2021-11-27 오전 3:45:52
\\wsl$\Ubuntu\home\user\volatility3,2022-05-13 오전 1:19:25
\\wsl$\Ubuntu\home\user\volatility3,2022-05-13 오전 1:18:50
\\wsl$\Ubuntu\home\user\volatility3\volatility3,2022-05-13 오전 1:20:32
\\wsl$\Ubuntu\home\user\volatility3\volatility3,2022-05-13 오전 1:20:34
\\wsl$\Ubuntu\home\user\volatility3\volatility3\__pycache__,2022-05-13 오전 1:20:34
\\wsl$\Ubuntu\home\user\volatility3\volatility3\__pycache__,2022-05-13 오전 1:20:32
_____,2022-03-06 오후 5:49:38
asd,2022-12-12 오후 10:54:20
b162310d38f15ea93af5d4c743b7590f,2022-03-29 오후 1:24:13
C:\,2021-11-14 오후 4:37:44
C:\,2022-11-16 오전 1:58:47
C:\,2022-12-13 오전 12:28:59
C:\,2022-12-12 오후 9:27:35
C:\,2022-12-13 오전 12:21:54
C:\,2021-10-07 오후 10:37:57
C:\,2021-10-12 오전 10:19:57
C:\,2021-10-12 오전 10:19:32
C:\$Recycle.Bin,2022-11-28 오후 5:59:58
C:\$SysReset,2022-03-25 오전 10:31:43
C:\$SysReset\AppxLogs,2022-03-25 오전 10:31:37
C:\$SysReset\CloudImage,2022-03-25 오전 10:31:35
C:\$SysReset\Logs,2022-03-25 오전 10:31:32
C:\$SysReset\Logs\WinRE,2022-03-25 오전 10:31:32
C:\$SysReset\MDM,2022-03-25 오전 10:31:26
C:\$SysReset\Scratch,2022-03-25 오전 10:31:40
C:\$WINDOWS.~BT,2022-03-25 오전 10:31:46
C:\$WINDOWS.~BT\Sources,2022-03-25 오전 10:31:48
C:\$WINDOWS.~BT\Sources\Panther,2022-03-25 오전 10:31:48
C:\$Windows.~WS,2022-03-25 오전 10:31:52
C:\$Windows.~WS\Sources,2022-03-25 오전 10:31:53
C:\$Windows.~WS\Sources\Panther,2022-03-25 오전 10:31:53
C:\$WinREAgent,2022-03-25 오전 10:31:58
C:\$WinREAgent\Scratch,2022-03-25 오전 10:31:58
C:\(Y1'JHI,2021-10-07 오후 11:50:09
C:\AppData,2022-03-05 오전 1:53:33
C:\AppData\Roaming,2022-03-05 오전 1:53:34
C:\AppData\Roaming\Microsoft,2022-03-05 오전 1:53:35
C:\AppData\Roaming\Microsoft\Windows,2022-03-05 오전 1:53:36
C:\AppData\Roaming\Microsoft\Windows\Recent,2022-03-05 오전 1:53:36
C:\Bitnami,2021-11-26 오전 12:01:52
C:\Bitnami\wampstack-8.0.13-0,2021-11-27 오후 9:55:30
C:\Bitnami\wampstack-8.0.13-0\apache2,2021-11-26 오전 12:02:40
C:\Bitnami\wampstack-8.0.13-0\apache2\htdocs,2021-11-27 오전 2:36:15
C:\Bitnami\wampstack-8.0.13-0\apache2\htdocs\img,2021-11-26 오전 12:02:50
C:\Bitnami\wampstack-8.0.13-0\apache2\htdocs\login,2021-11-26 오전 12:04:20
C:\Bitnami\wampstack-8.0.13-0\apache2\htdocs\login\img,2021-11-26 오전 12:04:20
C:\Bitnami\wampstack-8.0.13-0\apache2\htdocs\main,2021-12-01 오후 3:25:06
C:\Bitnami\wampstack-8.0.13-0\apache2\htdocs\main\css,2021-11-26 오후 8:35:32
C:\Bitnami\wampstack-8.0.13-0\apache2\htdocs\main\image,2021-11-26 오후 8:31:40
C:\Bitnami\wampstack-8.0.13-0\apache2\htdocs\main\login,2021-11-26 오후 11:04:47
C:\Bitnami\wampstack-8.0.13-0\apache2\htdocs\main\uploads,2021-11-26 오후 2:50:31
C:\Bitnami\wampstack-8.0.13-0\apache2\htdocs\main\uploads\test,2021-11-26 오후 2:50:31
C:\Bitnami\wampstack-8.0.13-0\apache2\htdocs\main\vendor,2021-11-26 오후 12:56:36
C:\Bitnami\wampstack-8.0.13-0\apache2\htdocs\main\vendor\jquery,2021-11-26 오후 12:56:36
C:\Bitnami\wampstack-8.0.13-0\docs,2021-11-27 오후 9:55:28
C:\Bitnami\wampstack-8.0.13-0\img,2021-11-27 오후 9:55:21
C:\Bitnami\wampstack-8.0.13-0\php,2021-11-26 오전 12:43:47
C:\Boot,2022-03-25 오전 10:32:59
C:\Boot\sm_da,2022-03-25 오전 10:32:59
C:\browserdownloadsview-x64,2022-12-08 오후 9:09:35
C:\browsinghistoryview-x64,2022-12-08 오후 9:03:08
C:\Captures,2021-10-12 오전 10:19:57
C:\Chat-App-main,2022-10-19 오전 11:23:34
C:\Chat-App-main,2022-05-30 오후 12:22:19
C:\Chat-App-main\2022-1,2022-10-17 오후 6:23:36
C:\Chat-App-main\2022-2,2022-11-30 오후 3:31:12
C:\CrowdResponse,2022-05-26 오후 9:49:36
C:\DF_CAT_Forensic_Tool,2022-12-13 오전 12:11:53
C:\dotnet-intellisense-5.0-ko,2021-11-07 오후 2:54:41
C:\dotnet-intellisense-5.0-ko,2021-11-09 오후 9:07:43
C:\dotnet-intellisense-5.0-ko,2021-10-22 오후 12:29:36
C:\dotnet-intellisense-5.0-ko\Microsoft.NETCore.App.Ref,2021-10-22 오후 12:28:24
C:\dotnet-intellisense-5.0-ko\Microsoft.NETCore.App.Ref\ko,2021-10-22 오후 12:28:24
C:\dotnet-intellisense-5.0-ko\Microsoft.WindowsDesktop.App.Ref,2021-10-22 오후 12:29:10
C:\dotnet-intellisense-5.0-ko\NETStandard.Library.Ref,2021-10-22 오후 12:29:36
C:\dtd,2022-03-17 오후 10:20:50
C:\ESD,2022-03-25 오전 10:33:02
C:\item-pages,2021-11-24 오전 4:25:29
C:\League of Legends,2021-10-07 오후 9:33:11
C:\login,2021-11-23 오후 11:37:21
C:\login_main,2021-11-23 오후 11:58:32
C:\main,2021-11-23 오후 11:04:35
C:\masm32,2021-11-27 오후 9:25:48
C:\Me,2021-10-22 오후 12:30:54
C:\Me\Code,2022-12-13 오후 12:43:32
C:\Me\Code\C OR C++,2022-04-17 오전 4:30:25
C:\Me\Code\C OR C++\Project1,2021-10-30 오후 10:57:09
C:\Me\Code\C OR C++\WindowsFormsApp1,2021-10-25 오후 10:04:31
C:\Me\Code\PY,2022-12-16 오후 8:26:41
C:\Me\Code\PY\.git,2022-04-26 오후 11:23:07
C:\Me\Code\PY\Android,2022-09-14 오후 11:01:02
C:\Me\Code\PY\Case_Crawler,2022-11-17 오후 7:18:21
C:\Me\Code\PY\chat,2022-05-27 오후 4:32:45
C:\Me\Code\PY\Control_System,2022-11-25 오후 8:05:18
C:\Me\Code\PY\Crawler,2022-11-10 오후 7:57:22
C:\Me\Code\PY\Dark_project,2022-04-26 오후 11:23:04
C:\Me\Code\PY\Dark_project\.git,2022-04-26 오후 11:23:04
C:\Me\Code\PY\DF_CAT_Forensic_Tool,2022-12-13 오후 12:46:11
C:\Me\Code\PY\DF_CAT_Forensic_Tool\artifact_parser,2022-11-29 오후 7:01:56
C:\Me\Code\PY\DF_CAT_Forensic_Tool\Forensics_Tool,2022-11-17 오후 8:18:40
C:\Me\Code\PY\DF_CAT_Forensic_Tool\Forensics_Tool\opensavefilesview-x64,2022-11-16 오전 2:01:21
C:\Me\Code\PY\DF_CAT_Forensic_Tool\Forensics_Tool\PECmd,2022-11-16 오전 2:36:50
C:\Me\Code\PY\DF_CAT_Forensic_Tool\output,2022-12-13 오전 10:29:09
C:\Me\Code\PY\DF_CAT_Forensic_Tool\output\desktop-242f37a_2022.12.13_10.22.13,2022-12-13 오전 10:24:28
C:\Me\Code\PY\DF_CAT_Forensic_Tool\output\desktop-242f37a_2022.12.13_10.22.13\json,2022-12-13 오전 10:24:28
C:\Me\Code\PY\DF_CAT_Forensic_Tool\output\desktop-242f37a_2022.12.13_10.23.16,2022-12-13 오전 10:29:09
C:\Me\Code\PY\DF_CAT_Forensic_Tool\output\desktop-242f37a_2022.12.13_10.23.16\csv,2022-12-13 오전 10:29:09
C:\Me\Code\PY\DF_CAT_Forensic_Tool\output\DF_CAT,2022-11-16 오전 3:10:59
C:\Me\Code\PY\DF_CAT_Forensic_Tool\output\DF_CAT\Forensics_Tool,2022-11-16 오전 3:11:00
C:\Me\Code\PY\DF_CAT_Forensic_Tool\output\DF_CAT\Forensics_Tool\PECmd,2022-11-16 오전 3:11:00
C:\Me\Code\PY\json_converter,2022-12-11 오후 8:16:52
C:\Me\Code\PY\machine,2022-06-14 오후 8:25:48
C:\Me\Code\PY\machine\disasmbled,2022-06-13 오후 8:30:38
C:\Me\Code\PY\machine\disasmbled\convert_test_benign,2022-05-28 오전 12:56:09
C:\Me\Code\PY\machine\disasmbled\convert_test_malware,2022-05-28 오전 12:58:38
C:\Me\Code\PY\machine\disasmbled\convert_train_benign,2022-05-28 오전 12:58:43
C:\Me\Code\PY\machine\disasmbled\convert_train_malware,2022-05-28 오전 12:58:48
C:\Me\Code\PY\machine\disasmbled\convert_valid_benign,2022-05-28 오전 12:58:53
C:\Me\Code\PY\machine\disasmbled\convert_valid_malware,2022-05-28 오전 12:58:58
C:\Me\Code\PY\machine\disasmbled\test_benign,2022-05-28 오전 12:56:05
C:\Me\Code\PY\machine\disasmbled\test_malware,2022-05-28 오전 12:56:03
C:\Me\Code\PY\machine\disasmbled\train__benign,2022-05-27 오후 9:29:00
C:\Me\Code\PY\machine\malware_binary,2022-06-14 오후 8:25:46
C:\Me\Code\PY\machine\malware_binary\test_0,2022-06-13 오후 8:23:52
C:\Me\Code\PY\machine\malware_binary\test_benign,2022-06-14 오후 8:01:23
C:\Me\Code\PY\machine\malware_binary\train_benign,2022-06-14 오후 8:25:46
C:\Me\Code\PY\machine\study_img,2022-06-14 오후 10:26:29
C:\Me\Code\PY\machine\study_img\test,2022-06-14 오후 8:25:59
C:\Me\Code\PY\machine\study_img\test\benign,2022-05-28 오전 3:30:36
C:\Me\Code\PY\machine\study_img\test\malware,2022-05-28 오전 3:31:00
C:\Me\Code\PY\machine\study_img\train,2022-06-14 오후 10:26:30
C:\Me\Code\PY\machine\study_img\train\benign,2022-05-28 오전 3:46:57
C:\Me\Code\PY\machine\study_img\train\malware,2022-05-28 오전 3:47:02
C:\Me\Code\PY\machine\study_img\valid,2022-06-13 오후 9:18:13
C:\Me\Code\PY\machine\study_img\valid\benign,2022-05-28 오전 3:47:08
C:\Me\Code\PY\machine\study_img\valid\malware,2022-05-28 오전 3:47:12
C:\Me\Code\Web,2021-10-30 오전 11:56:28
C:\MinGW,2022-05-27 오후 9:57:01
C:\mingw-w64-v10.0.0,2022-05-27 오후 9:45:55
C:\mingw-w64-v10.0.0\mingw-w64-tools,2022-05-27 오후 9:45:58
C:\mingw-w64-v10.0.0\mingw-w64-tools\widl,2022-05-27 오후 9:45:58
C:\MinGW\bin,2022-05-27 오후 9:57:01
C:\MSOCache,2022-03-25 오전 10:32:48
C:\MSOCache\All Users,2022-03-25 오전 10:32:49
C:\MSOCache\All Users\{90160000-00A1-0412-1000-0000000FF1CE}-C,2022-03-25 오전 10:32:49
C:\NetSarang Computer\7\Xshell\Sessions,2022-11-14 오후 8:31:16
C:\Nexon,2022-04-11 오후 1:55:26
C:\Nexon\Download,2022-04-11 오후 1:55:27
C:\Nexon\Download\106628,2022-04-11 오후 1:55:28
C:\Nexon\Download\106628\install,2022-04-11 오후 1:55:28
C:\Nexon\Download\106628\install\202204061936,2022-04-11 오후 1:55:28
C:\output,2022-12-07 오후 4:13:32
C:\PerfLogs,2021-11-28 오전 2:26:26
C:\Program Files,2022-11-14 오후 9:36:32
C:\Program Files (x86),2022-12-11 오후 8:08:49
C:\Program Files (x86)\DOUZONE\DFAS Pro DEMO,2022-12-11 오후 8:08:49
C:\Program Files (x86)\MySQL,2021-10-07 오후 8:32:45
C:\Program Files (x86)\SASM\Projects,2021-11-27 오후 9:29:44
C:\Program Files (x86)\VMware,2022-05-21 오후 11:30:36
C:\Program Files (x86)\VMware\VMware VIX,2022-05-21 오후 11:30:34
C:\Program Files (x86)\VMware\VMware Workstation,2022-05-21 오후 11:30:36
C:\Program Files (x86)\Windows Kits\10,2021-10-08 오전 9:12:14
C:\Program Files\Common Files,2021-11-27 오전 5:57:17
C:\Program Files\Common Files\Oracle,2021-11-27 오전 5:57:18
C:\Program Files\Common Files\Oracle\Java,2021-11-27 오전 5:57:18
C:\Program Files\DB Browser for SQLite,2022-03-05 오후 9:30:36
C:\Program Files\DB Browser for SQLite,2022-03-06 오후 8:58:58
C:\Program Files\dotnet,2021-10-22 오후 12:28:02
C:\Program Files\dotnet\packs,2021-10-22 오후 12:29:25
C:\Program Files\dotnet\packs\Microsoft.AspNetCore.App.Ref,2021-10-22 오후 12:28:11
C:\Program Files\dotnet\packs\Microsoft.AspNetCore.App.Ref\5.0.0,2021-10-22 오후 12:28:14
C:\Program Files\dotnet\packs\Microsoft.AspNetCore.App.Ref\5.0.0\ref,2021-10-22 오후 12:28:18
C:\Program Files\dotnet\packs\Microsoft.AspNetCore.App.Ref\5.0.0\ref\net5.0,2021-10-22 오후 12:28:18
C:\Program Files\dotnet\packs\Microsoft.WindowsDesktop.App.Ref,2021-10-22 오후 12:29:05
C:\Program Files\dotnet\packs\Microsoft.WindowsDesktop.App.Ref\5.0.0,2021-10-22 오후 12:29:06
C:\Program Files\dotnet\packs\Microsoft.WindowsDesktop.App.Ref\5.0.0\ref,2021-10-22 오후 12:29:07
C:\Program Files\dotnet\packs\Microsoft.WindowsDesktop.App.Ref\5.0.0\ref\net5.0,2021-10-22 오후 12:29:07
C:\Program Files\dotnet\packs\NETStandard.Library.Ref,2021-10-22 오후 12:29:26
C:\Program Files\dotnet\packs\NETStandard.Library.Ref\2.1.0,2021-10-22 오후 12:29:29
C:\Program Files\dotnet\packs\NETStandard.Library.Ref\2.1.0\ref,2021-10-22 오후 12:29:31
C:\Program Files\dotnet\packs\NETStandard.Library.Ref\2.1.0\ref\netstandard2.1,2021-10-22 오후 12:29:31
C:\Program Files\Git,2022-11-14 오후 9:36:36
C:\Program Files\Git\cmd,2022-11-14 오후 9:36:36
C:\Program Files\Google\Chrome\Application\98.0.4758.102,2022-03-06 오후 11:38:02
C:\Program Files\HxD,2021-11-28 오전 6:39:28
C:\Program Files\Java,2021-11-27 오전 3:54:01
C:\Program Files\Java\jdk-17.0.1,2021-11-27 오전 12:40:31
C:\Program Files\Java\jdk-17.0.1\bin,2021-11-27 오전 12:44:32
C:\Program Files\Java\jdk-17.0.1\bin\server,2021-11-27 오전 12:44:32
C:\Program Files\Java\jre1.8.0_311,2021-11-27 오전 12:40:43
C:\Program Files\Java\jre1.8.0_311\bin,2021-11-27 오전 12:40:43
C:\Program Files\MySQL,2021-10-07 오후 8:32:39
C:\Program Files\MySQL\MySQL Server 8.0,2021-10-07 오후 8:32:39
C:\ProgramData,2022-12-12 오후 7:14:33
C:\ProgramData\AccessData,2022-03-25 오전 10:32:15
C:\ProgramData\AccessData\LMS,2022-03-25 오전 10:32:16
C:\ProgramData\AccessData\LMS\callbackdisk-,2022-03-25 오전 10:32:16
C:\ProgramData\Intel,2022-03-25 오전 10:32:40
C:\ProgramData\Microsoft OneDrive,2022-12-12 오후 7:14:34
C:\ProgramData\Microsoft OneDrive\setup,2022-12-12 오후 7:14:35
C:\ProgramData\Microsoft\Windows\Start Menu\Programs,2022-11-14 오후 9:36:06
C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Git,2022-11-14 오후 9:36:06
C:\ProgramData\Packages,2021-11-28 오전 2:26:45
C:\ProgramData\ssh,2021-10-07 오후 9:33:31
C:\ProgramData\USOPrivate,2021-10-07 오후 9:33:29
C:\Python27,2022-03-27 오후 10:23:43
C:\Python27\Scripts,2022-03-27 오후 10:23:43
C:\Recent,2022-03-05 오전 1:04:18
C:\REGA Release,2021-11-28 오전 7:42:55
C:\REGA Release,2022-01-09 오후 6:58:21
C:\REGA Release\CliSvc.exe 분석,2021-12-27 오후 7:30:10
C:\REGA Release\~ER_dll,2021-12-29 오후 11:37:24
C:\REGA_v1.5.3[Freeware],2022-05-02 오전 3:26:12
C:\REGA_v1.5.3[Freeware]\REG,2022-05-02 오전 3:26:12
C:\SecurityFirst,2022-05-01 오후 9:42:07
C:\SecurityFirst\NewBie DegiterForensic,2022-03-24 오전 9:09:21
C:\SecurityFirst\Newbie Digital Forensics,2022-03-24 오전 9:09:30
C:\SecurityFirst\Write-up,2022-03-06 오후 11:38:06
C:\shman-x64,2022-12-01 오후 3:44:04
C:\shman-x64,2022-11-24 오후 7:34:05
C:\startbootstrap-shop-homepage-gh-pages,2021-11-23 오후 10:49:28
C:\startbootstrap-shop-item-gh-pages,2021-11-23 오후 10:44:25
C:\Temp,2022-11-28 오후 5:33:00
C:\Temp\AUtempR,2022-11-28 오후 5:31:58
C:\Temp\NEO2,2022-11-28 오후 5:33:02
C:\Temp\NEO2\HncDownload,2022-11-28 오후 5:33:02
C:\testCSV,2022-05-05 오전 9:45:09
C:\Tool,2022-03-28 오전 12:57:24
C:\Tool\IDA_Pro_7.5,2021-11-10 오후 11:42:57
C:\Tool\malzilla_1.2.0,2021-12-17 오후 5:51:14
C:\Tool\odbg200,2021-11-27 오전 5:46:18
C:\Tool\winprefetchview-x64,2022-03-28 오전 12:57:24
C:\tools,2022-11-29 오후 10:23:15
C:\tools\browsinghistoryview-x64,2022-11-29 오후 10:09:50
C:\tools\userassistview,2022-11-29 오후 10:23:12
C:\tools\userprofilesview,2022-11-29 오후 10:23:15
C:\Tor Browser,2022-03-06 오후 11:38:01
C:\Tor Browser,2022-02-15 오전 1:45:14
C:\upload,2022-03-05 오전 12:27:01
C:\Users,2022-05-02 오전 5:14:12
C:\Users\Default,2022-05-02 오전 4:33:50
C:\Users\Default\AppData,2022-05-02 오전 4:33:50
C:\Users\Default\AppData\Local,2022-04-30 오전 2:18:42
C:\Users\Default\AppData\Local\Microsoft,2022-04-30 오전 2:18:54
C:\Users\Default\AppData\Local\Microsoft\InputPersonalization,2022-04-30 오전 2:18:55
C:\Users\Default\AppData\Local\Microsoft\InputPersonalization\TrainedDataStore,2022-04-30 오전 2:18:55
C:\Users\Default\AppData\Local\Microsoft\Windows,2022-04-30 오전 2:18:44
C:\Users\Default\AppData\Local\Temp,2022-04-30 오전 2:18:41
C:\Users\Default\AppData\Roaming,2022-04-30 오전 2:18:37
C:\Users\Default\AppData\Roaming\Microsoft,2022-05-02 오전 4:33:53
C:\Users\Default\AppData\Roaming\Microsoft\Windows,2022-05-02 오전 4:33:57
C:\Users\Default\AppData\Roaming\Microsoft\Windows\Recent,2022-05-02 오전 4:33:57
C:\Users\Default\Desktop,2022-04-30 오전 2:18:58
C:\Users\User,2022-12-16 오후 8:33:55
C:\Users\User\AppData,2022-12-13 오전 12:29:07
C:\Users\User\AppData\Local,2022-12-13 오전 12:29:45
C:\Users\User\AppData\Local,2022-12-13 오전 12:30:57
C:\Users\User\AppData\Local\ConnectedDevicesPlatform,2022-11-28 오후 5:11:43
C:\Users\User\AppData\Local\ConnectedDevicesPlatform\L.User,2022-11-28 오후 5:11:43
C:\Users\User\AppData\Local\Google,2022-02-15 오전 1:44:37
C:\Users\User\AppData\Local\Google\Chrome,2022-02-15 오전 1:44:37
C:\Users\User\AppData\Local\Google\Chrome\User Data,2022-02-15 오전 1:44:45
C:\Users\User\AppData\Local\Google\Chrome\User Data\Default,2022-04-24 오후 8:37:50
C:\Users\User\AppData\Local\Google\Chrome\User Data\Default\Cache,2022-04-05 오후 9:28:52
C:\Users\User\AppData\Local\Google\Chrome\User Data\Default\Cache\Cache_Data,2022-04-05 오후 9:28:52
C:\Users\User\AppData\Local\Google\Chrome\User Data\Default\databases,2022-04-05 오후 9:29:25
C:\Users\User\AppData\Local\Google\Chrome\User Data\Default\GPUCache,2022-04-05 오후 9:29:35
C:\Users\User\AppData\Local\Google\Chrome\User Data\Default\IndexedDB,2022-04-05 오후 9:29:38
C:\Users\User\AppData\Local\Google\Chrome\User Data\Default\Network,2022-04-24 오후 8:37:50
C:\Users\User\AppData\Local\Google\Chrome\User Data\Default\Search Logos,2022-04-05 오후 9:29:45
C:\Users\User\AppData\Local\Local,2022-12-13 오전 12:30:57
C:\Users\User\AppData\Local\Local\JandiApp\app-1.5.6,2022-06-30 오후 11:27:25
C:\Users\User\AppData\Local\Local\Packages,2021-11-27 오전 3:00:53
C:\Users\User\AppData\Local\Local\Packages\CanonicalGroupLimited.Ubuntu20.04onWindows_79rhkp1fndgsc,2021-11-27 오전 3:04:20
C:\Users\User\AppData\Local\Local\Packages\CanonicalGroupLimited.Ubuntu20.04onWindows_79rhkp1fndgsc\AC,2021-11-27 오전 3:04:14
C:\Users\User\AppData\Local\Local\Packages\CanonicalGroupLimited.Ubuntu20.04onWindows_79rhkp1fndgsc\AC\Temp,2021-11-27 오전 3:04:14
C:\Users\User\AppData\Local\Local\Packages\CanonicalGroupLimited.Ubuntu20.04onWindows_79rhkp1fndgsc\LocalState,2021-11-27 오전 3:00:57
C:\Users\User\AppData\Local\Local\Packages\CanonicalGroupLimited.Ubuntu20.04onWindows_79rhkp1fndgsc\RoamingState,2021-11-27 오전 3:03:59
C:\Users\User\AppData\Local\Local\Packages\CanonicalGroupLimited.UbuntuonWindows_79rhkp1fndgsc,2021-11-27 오전 2:21:56
C:\Users\User\AppData\Local\Local\Packages\CanonicalGroupLimited.UbuntuonWindows_79rhkp1fndgsc\AppData,2021-11-27 오전 2:21:51
C:\Users\User\AppData\Local\Local\Packages\CanonicalGroupLimited.UbuntuonWindows_79rhkp1fndgsc\LocalCache,2021-11-27 오전 2:21:54
C:\Users\User\AppData\Local\Local\Packages\CanonicalGroupLimited.UbuntuonWindows_79rhkp1fndgsc\LocalCache\Roaming,2021-11-27 오전 2:21:54
C:\Users\User\AppData\Local\Local\Packages\CanonicalGroupLimited.UbuntuonWindows_79rhkp1fndgsc\LocalState,2021-11-27 오전 2:20:18
C:\Users\User\AppData\Local\Local\Programs\Python\Python310\Lib,2022-12-13 오전 12:30:57
C:\Users\User\AppData\Local\LocalLow,2021-11-27 오전 3:00:27
C:\Users\User\AppData\Local\Microsoft,2022-04-30 오전 3:22:29
C:\Users\User\AppData\Local\Microsoft\Windows,2022-04-30 오전 3:22:29
C:\Users\User\AppData\Local\pip,2022-12-13 오전 12:27:25
C:\Users\User\AppData\Local\pip\cache,2022-12-13 오전 12:29:21
C:\Users\User\AppData\Local\pip\cache\http,2022-12-13 오전 12:29:17
C:\Users\User\AppData\Local\pip\cache\selfcheck,2022-12-13 오전 12:29:19
C:\Users\User\AppData\Local\pip\cache\wheels,2022-12-13 오전 12:29:21
C:\Users\User\AppData\Local\Programs,2022-12-13 오전 12:29:47
C:\Users\User\AppData\Local\Programs\Python,2022-12-13 오전 12:29:48
C:\Users\User\AppData\Local\Programs\Python\Python310,2022-12-13 오전 12:29:50
C:\Users\User\AppData\Local\Programs\Python\Python310\Lib,2022-12-13 오전 12:29:50
C:\Users\User\AppData\Local\repos,2021-10-22 오후 12:30:47
C:\Users\User\AppData\Local\Roaming,2022-11-28 오후 5:13:19
C:\Users\User\AppData\Local\Temp,2022-11-24 오후 7:39:54
C:\Users\User\AppData\Local\Temp\dbeaver-ce-latest-x86_64-setup.exe15330400102182704642,2022-11-14 오후 8:34:15
C:\Users\User\AppData\Local\Temp\tmpizjv1_ro,2022-11-24 오후 7:38:15
C:\Users\User\AppData\Local\Temp\tmpkw4uxozn,2022-11-24 오후 7:39:54
C:\Users\User\AppData\LocalLow,2022-04-05 오후 9:27:33
C:\Users\User\AppData\LocalLow\Microsoft,2022-04-05 오후 9:27:38
C:\Users\User\AppData\LocalLow\Microsoft\Windows,2022-04-05 오후 9:27:38
C:\Users\User\AppData\Roaming,2022-12-13 오전 12:28:12
C:\Users\User\AppData\Roaming\Microsoft,2022-05-02 오후 1:02:21
C:\Users\User\AppData\Roaming\Microsoft\Internet Explorer,2022-05-02 오전 5:14:33
C:\Users\User\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch,2022-05-02 오전 5:14:36
C:\Users\User\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned,2022-05-02 오후 1:02:31
C:\Users\User\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\ImplicitAppShortcuts,2022-05-02 오전 5:14:40
C:\Users\User\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\ImplicitAppShortcuts\512c904ca96ecd5c,2022-05-02 오전 5:14:40
C:\Users\User\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar,2022-05-02 오전 5:14:37
C:\Users\User\AppData\Roaming\Microsoft\Windows,2022-05-02 오후 1:02:08
C:\Users\User\AppData\Roaming\Microsoft\Windows\Network Shortcuts,2022-05-02 오전 4:17:41
C:\Users\User\AppData\Roaming\Microsoft\Windows\PowerShell,2022-05-02 오후 1:02:09
C:\Users\User\AppData\Roaming\Microsoft\Windows\PowerShell\PSReadLine,2022-05-02 오후 1:02:09
C:\Users\User\AppData\Roaming\Microsoft\Windows\SendTo,2022-05-02 오전 5:14:50
C:\Users\User\AppData\Roaming\Microsoft\Windows\Start Menu,2022-05-02 오전 4:36:47
C:\Users\User\AppData\Roaming\Microsoft\Windows\Start Menu,2022-05-02 오전 5:15:04
C:\Users\User\AppData\Roaming\Microsoft\Windows\Start Menu\AutomaticDestinations,2022-05-02 오전 4:19:06
